Question,Option1,Option2,Option3,Option4,Option5,Option6,"Correct Option
(Note:- if correct option is Option1 then insert 1)",Category Name,Marks
"Present ages of Sameer and Anand are in the ratio of 5 : 4 respectively. Three years hence, the ratio of their ages will become 11 : 9 respectively. What is Anand's present age in years?",24,27,40,Cannot be determined,None of these,,1,Aptitude,5
"A man is 24 years older than his son. In two years, his age will be twice the age of his son. The present age of his son is:",14 years,18 years,20 years,22 years,,,4,Aptitude,5
"Six years ago, the ratio of the ages of Kunal and Sagar was 6 : 5. Four years hence, the ratio of their ages will be 11 : 10. What is Sagar's age at present?",16 years,18 years,20 years,Cannot be determined,None of these,,1,Aptitude,5
"The sum of the present ages of a father and his son is 60 years. Six years ago, father's age was five times the age of the son. After 6 years, son's age will be:",12 years,14 years,18 years,20 years,,,4,Aptitude,5
"At present, the ratio between the ages of Arun and Deepak is 4 : 3. After 6 years, Arun's age will be 26 years. What is the age of Deepak at present ?",12 years,15 years,19 and half,21 years,,,2,Aptitude,5
"Sachin is younger than Rahul by 7 years. If their ages are in the respective ratio of 7 : 9, how old is Sachin?",16 years,18 years,28 years,24.5 years,None of these,,4,Aptitude,5
"The present ages of three persons in proportions 4 : 7 : 9. Eight years ago, the sum of their ages was 56. Find their present ages (in years).","8, 20, 28","16, 28, 36","20, 35, 45",None of these,,,2,Aptitude,5
"A person's present age is two-fifth of the age of his mother. After 8 years, he will be one-half of the age of his mother. How old is the mother at present?",32 years,36 years,40 years,48 years,,,3,Aptitude,5
"Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years, what is definitely the difference between R and Q's age?",1 year,2 years,25 years,Data inadequate,None of these,,4,Aptitude,5
"The age of father 10 years ago was thrice the age of his son. Ten years hence, father's age will be twice that of his son. The ratio of their present ages is:",5:02,7:03,9:02,13:04,,,2,Aptitude,5
A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. The sum is:,Rs. 650,Rs. 690,Rs. 698,Rs. 700,,,3,Aptitude,5
