Sr no.,Question,Option1,Option2,Option3,Option4,Option5,"Correct Option
(Note:- if correct option is Option1 then insert 1)",Category Name,Marks
65,"Your marketing department wants to send out a promotional email campaign. The development team
wants to minimize direct operation management. They project a wide range of possible customer
responses, from 100 to 500,000 click-throughs per day. The link leads to a simple website that
explains the promotion and collects user information and preferences. Which infrastructure should
you recommend?","Use a single compute Engine virtual machine (VM) to host a web server, backed by
Google Cloud SQL.","Use a Google Container Engine cluster to serve the website and store data to
persistent disk.","Use a managed instance group to serve the website and Google Cloud Bigtable to
store user data.","Use Google App Engine to serve the website and Google Cloud Datastore to
store user data.",,4,Google cloud Certified Professional cloud Architech,5
66,"Your customer is moving their corporate applications to Google Cloud Platform. The security team
wants detailed visibility of all projects in the organization. You provision the Google Cloud Resource
Manager and set up yourself as the org admin. Which Google Cloud Identity and Access Management
(Cloud IAM) roles should you give to the security team?","Org viewer, project owner","Org viewer, project viewer","Org admin, project browser","Project owner, network admin",,2,Google cloud Certified Professional cloud Architech,5
67,"Using the principle of least privilege, your colleague Bob needs to be able to create new instances on
Compute Engine in project 'Project A'. How should you give him access without giving more
permissions than is necessary?",Give Bob Compute Engine Instance Admin Role for Project A,Give Bob Compute Engine Admin Role for Project A.,Create a shared VPC that Bob can access Compute resources from.,Give Bob Project Editor IAM role for Project A.,,1,Google cloud Certified Professional cloud Architech,5
68,Select examples of principal of least privilege. Choose the 3 correct answers:,Restrict service account access,Assign Compute Instance Admin role vs Compute Admin,Separate production and test environments,Create IAM Folders to manage groups of projects,,1&2&3,Google cloud Certified Professional cloud Architech,5
69,"Using principal of least privilege and allowing for maximum automation, what steps can you take to
store audit logs for long-term access and to allow access for external auditors to view? Choose the 2
correct answers:",Create account for auditors to have view access to Stackdriver Logging.,Export audit logs to Cloud Storage via an export sink.,Export audit logs to BigQuery via an export sink.,"Create account for auditors to have view access to export storage bucket with
the Storage Object Viewer role.",,2&4,Google cloud Certified Professional cloud Architech,5
70,"If external auditors need to be able to access your admin activity logs once a year for compliance,
what is the best method of preserving and sharing that log data? (Choose two)","If they need access to multiple logs in a single bucket, and they have a GCP
account, export logs to a Cloud Storage bucket for long-term retention and
grant auditor accounts the Storage Object Viewer role to the bucket.","Create GCP accounts for the auditors and grant the Project Viewer role to view logs
in Stackdriver Logging","If they do not need a GCP account and need to view a single date's object,
export the logs to a Cloud Storage bucket for long-term retention and generate
a signed URL for temporary object-level access.",Export logs to Cloud Storage bucket and email a list of the logs once per year.,,1&3,Google cloud Certified Professional cloud Architech,5
71,"Your application needs to process credit card transactions. You want the smallest scope of Payment
Card Industry (PCI) compliance without compromising the ability to analyze transactional data and
trends relating to which payment methods are used. How should you design your architecture?
Select one:","Create separate subnetworks and isolate the components that process credit card
data.","Streamline the audit discovery phase by labeling all of the virtual machines (VMs)
that process PCI data.",Create separate projects that only process credit card data.,"Enable Logging export to Google BigQuery and use ACLs and views to scope
the data shared with the auditor.",Create a tokenizer service and store only tokenized data.,4,Google cloud Certified Professional cloud Architech,5
72,"You want to optimize the performance of an accurate, real-time, weather-charting application. The
data comes from 50,000 sensors sending 10 readings a second, in the format of a timestamp and
sensor reading. Where should you store the data?",Google BigQuery,Google Cloud Storage,Google Cloud Bigtable,Google Cloud SQL,,3,Google cloud Certified Professional cloud Architech,5
73,"You need to take streaming data from thousands of Internet of Things (IoT) devices, ingest it, run it
through a processing pipeline, and store it for analysis. You want to run SQL queries against your data
for analysis. What services in which order should you use for this task?","Cloud Dataflow, Cloud Pub/Sub, BigQuery","Cloud Pub/Sub, Cloud Dataflow, Cloud Dataproc","Cloud Pub/Sub, Cloud Dataflow, BigQuery","App Engine, Cloud Dataflow, BigQuery",,3,Google cloud Certified Professional cloud Architech,5
74,"Your company has decided to make a major revision of their API in order to create better experiences
for their developers. They need to keep the old version of the API available and deployable, while
allowing new customers and testers to try out the new API. They want to keep the same SSL and DNS
records in place to serve both APIs. What should they do?",Configure a new load balancer for the new version of the API,Reconfigure old clients to use a new endpoint for the new API.,Have the old API forward traffic to the new API based on the path.,Use separate backend pools for each API path behind the load balancer.,,4,Google cloud Certified Professional cloud Architech,5
75,"You are running an application in Google App Engine that is serving production traffic. You want to
deploy a risky but necessary change to the application. It could take down your service if not properly
coded. During development of the application, you realized that it can only be properly tested by live
user traffic. How should you test the feature?","Deploy the new application version temporarily, and then roll it back.","Create a second project with the new app in isolation, and onboard users.","Set up a second Google App Engine service, and then update a subset of clients to
hit the new service","Deploy a new version of the application and use traffic splitting to send a small
percentage of traffic to it.",,4,Google cloud Certified Professional cloud Architech,5
76,"Your company's user-feedback portal comprises a standard LAMP stack replicated across two zones.
It is deployed in the us-central1 region and uses autoscaled managed instance groups on all layers,
except the database. Currently, only a small group of select customers have access to the portal. The
portal meets a 99.99% availability SLA under these conditions. However next quarter, your company
will be making the portal available to all users, including unauthenticated users. You need to develop
a resiliency testing strategy to ensure the system maintains the SLA once they introduce additional
user load. What should you do?","Expose the new system to a larger group of users and increase group’s size each
day until autoscale logic is triggered on all layers. At the same time, terminate
random resources on both zones.","Create synthetic random user input, replay synthetic load until autoscale logic
is triggered on at least one layer, and introduce ""chaos"" to the system by
terminating random resources on both zones.","Capture existing users input and replay captured user load until autoscale is
triggered on all layers. At the same time, terminate all resources in one of the zones.","Capture existing users input and replay captured user load until resource utilization
crosses 80%. Also, derive estimated number of users based on existing users’ usage
of the app, and deploy enough resources to handle 200% of expected load.",,2,Google cloud Certified Professional cloud Architech,5
77,"Dress4Win wants to do penetration security scanning on the test and development environments
deployed to the cloud. The scanning should be performed from an end user perspective as much as
possible. How should they conduct the penetration testing?","Notify Google to begin conducting regular penetration security scanning on behalf
of Dress4Win.","Deploy the security scanners into the cloud environments and conduct penetration
testing within each environment.","Use the on-premises scanners to conduct penetration testing on the cloud
environments routing traffic over the VPN.","Use the on-premises scanners to conduct penetration testing on the cloud
environments routing traffic over the public internet.",,4,Google cloud Certified Professional cloud Architech,5
78,"For this question, refer to the Mountkirk Games case study.
Mountkirk Games wants you to design their new testing strategy. How should the test coverage differ
from their existing backends on the other platforms?",Tests should scale well beyond the prior approaches,"Unit tests are no longer required, only end-to-end tests.",Tests should be applied after the release is in the production environment.,"Tests should include directly testing the Google Cloud Platform (GCP)
infrastructure.",,4,Google cloud Certified Professional cloud Architech,5
79,"For this question, refer to the TerramEarth case study.
The TerramEarth development team wants to create an API to meet the company's business
requirements. You want the development team to focus their development effort on business value
versus creating a custom framework. Which method should they use?","Use Google App Engine with Google Cloud Endpoints. Focus on an API for
dealers and partners","Use Google App Engine with a JAX-RS Jersey Java-based framework. Focus on an
API for the public.","Use Google App Engine with the Swagger (open API Specification) framework. Focus
on an API for the public.","Use Google Container Engine with a Django Python container. Focus on an API for
the public.","Use Google Container Engine with a Tomcat container with the Swagger (Open API
Specification) framework. Focus on an API for dealers and partners.",1,Google cloud Certified Professional cloud Architech,5
80,"A recent software update to an e-commerce website running on Google Cloud has caused the
website to crash for several hours. The CTO decides that all critical changes must now have a
backout/roll-back plan. The website is deployed on hundreds of virtual machines (VMs), and critical
changes are frequent. Which two actions should you take to implement the back-out/roll-back plan?
(Choose two)","Create a Nearline copy for the website static data files stored in Google Cloud
Storage.","Enable object versioning on the website's static data files stored in Google
Cloud Storage","Use managed instance groups with the “update-instances” command when
starting a rolling update.","Enable Google Cloud Deployment Manager (CDM) on the project and define each
change with a new CDM template.","Create a snapshot of each VM prior to an update and recover the VM from the
snapshot in case of a new version failure.",2&3,Google cloud Certified Professional cloud Architech,5
81,"You need to have a backup/rollback plan in place for your application that is distributed across a large
managed instance group. What is the preferred method for doing so?","Use the Rolling Update feature to deploy/roll back versions with different
managed instance group templates.","Use the managed instance group snapshot function that is included in Compute
Engine.",Have each instance write critical application data to a Cloud Storage bucket.,Schedule a cron job to take snapshots of each instance in the group.,,1,Google cloud Certified Professional cloud Architech,5
82,"Your company is planning on deploying a web application to Google Cloud hosted on a custom Linux
distribution. Your website will be accessible globally and needs to scale to meet demand. Choose all
of the components that will be necessary to achieve this goal.
Choose the 2 correct answers:",App Engine Standard environment,HTTP Load Balancer,Managed Instance Group on Compute Engine,Network Load Balancer,,2&3,Google cloud Certified Professional cloud Architech,5
83,"Your company collects and stores security camera footage in Google Cloud Storage. Within the first
30 days, footage is
processed regularly for threat detection, object detection, trend analysis, and suspicious behavior
detection. You want to minimize the cost of storing all the data. How should you store the video","Use Google Cloud Regional Storage for the first 30 days, and then move to
Coldline Storage.","Use Google Cloud Nearline Storage for the first 30 days, and then move to Coldline
Storage.","Use Google Cloud Regional Storage for the first 30 days, and then move to Nearline
Storage","Use Google Cloud Regional Storage for the first 30 days, and then move to Google
Persistent Disk.",,1,Google cloud Certified Professional cloud Architech,5
84,"Your company currently hosts an AWS S3 bucket. You need to keep the contents of this bucket in sync
with a new Google Cloud Storage bucket to support a backup storage destination. What is the best
method to achieve this?","Once per week, use a gsutil cp command to copy over newly modified files.",Use gsutil rsync commands to keep both locations in sync.,Use Storage Transfer Service to keep both the source and destination in sync,Use gsutil -m cp to keep both locations in sync.,,3,Google cloud Certified Professional cloud Architech,5
85,"Your application is hosted across multiple regions and consists of both relational database data and
static images. Your database has over 10 TB of data. You want to use a single storage repository for
each data type across all regions. Which two products would you choose for this task? (Choose two)
Explanation:",Cloud Bigtable,Cloud Spanner,Cloud SQL,Cloud Storage,,2&4,Google cloud Certified Professional cloud Architech,5
86,"A production database virtual machine on Google Compute Engine has an ext4-formatted persistent
disk for data files. The database is about to run out of storage space. How can you remediate the
problem with the least amount of downtime?","In the Cloud Platform Console, increase the size of the persistent disk and use
the resize2fs command in Linux.","Shut down the virtual machine, use the Cloud Platform Console to increase the
persistent disk size, then restart the virtual machine.","In the Cloud Platform Console, increase the size of the persistent disk and verify the
new space is ready to use with the fdisk command in Linux","In the Cloud Platform Console, create a new persistent disk attached to the virtual
machine, format and mount it, and configure the database service to move the files
to the new disk.","In the Cloud Platform Console, create a snapshot of the persistent disk, restore the
snapshot to a new larger disk, unmount the old disk, mount the new disk, and restart
the database service.",1,Google cloud Certified Professional cloud Architech,5
87,"You are migrating your existing data center environment to Google Cloud Platform. You have a 1
petabyte Storage Area Network (SAN) that needs to be migrated. What GCP service will this data map
to?",Persistent Disk,Cloud Bigtable,Cloud Storage,BigQuery,,1,Google cloud Certified Professional cloud Architech,5
88,"You have a managed instance group comprised of preemptible VM's. All of the VM's keep deleting
and recreating themselves every minute. What is a possible cause of this behavior?","Your zonal capacity is limited, causing all preemptible VM's to be shutdown to
recover capacity. Try deploying your group to another zone.",You have hit your instance quota for the region.,"Your managed instance group's VM's are toggled to only last 1 minute in
preemptible settings.","Your managed instance group's health check is repeatedly failing, either to a
misconfigured health check or misconfigured firewall rules not allowing the
health check to access the instances.",,4,Google cloud Certified Professional cloud Architech,5
89,"When creating firewall rules, what forms of segmentation can narrow which resources the rule is
applied to? (Choose all that apply)",Network range in source filters,Zone,Region,Network tags,,1&4,Google cloud Certified Professional cloud Architech,5
90,"Your business is connected to a VPN connection to GCP. On GCP, you are hosting an internal website
using an HTTP load balancer which serves traffic to a managed instance group. Your users are unable
to access the internal website, though all systems are up. What is a possible cause for this problem?",You've enabled static IP address for the managed instance group servers.,Your load balancer is not set for the correct region.,Firewall rules are not correctly configured.,You need to enable Stackdriver debugger to collect more information.,,3,Google cloud Certified Professional cloud Architech,5
91,"Your company is building a large-scale web application. Each team is responsible for its own service
component of the application and wants to manage its own individual projects. You want each service
to communicate with the others over RFC1918 address space. What should you do?",Deploy each service into a single project within the same VPC.,"Configure Shared VPC and add each project as a service of the Shared VPC
project.",Configure each service to communicate with the others over HTTPS protocol.,"Configure a global load balancer for each project and communicate between each
service using the global load balancer IP addresses.",,2,Google cloud Certified Professional cloud Architech,5
92,"For this question, refer to the JencoMart case study.
JencoMart wants to move their User Profiles database to Google Cloud Platform. Which Google
Database should they use?",Cloud Spanner,Google Cloud SQL,Google BigQuery,Google Cloud Datastore,,1,Google cloud Certified Professional cloud Architech,5
93,"Your company wants to track whether someone is present in a meeting room reserved for a
scheduled meeting. There are 1000 meeting rooms across 5 offices on 3 continents.
Each room is equipped with a motion sensor that reports its status every second. The data from the
motion detector includes only a sensor ID and several different discrete items of information. Analysts
will use this data, together with information about account owners and office locations. Which
database type should you use?",Relational database,Blobstore,Flat file,NoSQL database,,4,Google cloud Certified Professional cloud Architech,5
94,"Your company plans to host a large donation website on Google Cloud Platform. You anticipate a large
and undetermined amount of traffic that will create many database writes. To be certain that you do
not drop any writes to a database hosted on GCP. Which service should you use with managed
service?","Cloud SQL with Bigger (More CPU, Memory, and Disk Size) machine type with
throughput capacity matching to the anticipated peak write throughput.","Cloud Pub/Sub for capturing the writes and draining the queue to write to the
database.",Memcached to store the writes until the writes are committed to the database.,Install your MySQL database on Compute instance and enable autoscaling,,2,Google cloud Certified Professional cloud Architech,5
95,"Your customer is moving their storage product to Google Cloud Storage (GCS). The data contains
personally identifiable
information (PII) and sensitive customer information. What security strategy should you use for GCS?",Use signed URLs to generate time bound access to objects.,Grant IAM read-only access to users and use default ACLs on the bucket,"Grant no Google Cloud Identity and Access Management (Cloud IAM) roles to
users and use granular ACLs on the bucket.","Create randomized bucket and object names. Enable public access, but only
provide specific file URLs to people who do not have Google accounts and need
access.",,3,Google cloud Certified Professional cloud Architech,5
96,"Your infrastructure includes two 100-TB enterprise file servers. You need to perform a one-way, onetime
migration of this data to the Google Cloud securely. Only users in Germany will access this data.
You want to create the most cost-effective solution. What should you do?","Use Transfer Appliance to transfer the offsite backup files to a Cloud Storage
Regional storage bucket as a final destination.","Use Transfer Appliance to transfer the offsite backup files to a Cloud Storage Multi-
Regional bucket as a final destination.","Use Storage Transfer Service to transfer the offsite backup files to a Cloud Storage
Regional storage bucket as a final destination.","Use Storage Transfer Service to transfer the offsite backup files to a Cloud Storage
Multi-Regional storage bucket as a final destination.",,1,Google cloud Certified Professional cloud Architech,5
97,"You are designing a relational data repository on Google Cloud to grow as needed. The data will be
transactional consistent and added from any location in the world. You want to monitor and adjust
node count for input traffic, which can spike unpredictably. What should you do?","Use Cloud Spanner for storage. Monitor storage usage and increase node count if
more than 70% utilized.","Use Cloud Spanner for storage. Monitor CPU utilization and increase node
count if more than 70% utilized for your time span.","Use Cloud Bigtable for storage. Monitor data stored and increase node count if more
than 70% utilized.","Use Cloud Bigtable for storage. Monitor CPU utilization and increase node count if
more than 70% utilized for your time span",,2,Google cloud Certified Professional cloud Architech,5
98,"You need to create a new Kubernetes Cluster on Google Cloud Platform that can autoscale the
number of worker nodes. What should you do?","Create a cluster on Kubernetes Engine and enable autoscaling on Kubernetes
Engine.","Create a cluster on Kubernetes Engine and enable autoscaling on the instance
group of the cluster.","Configure a Compute Engine instance as a worker and add it to an unmanaged
instance group. Add a load balancer to the instance group and rely on the load
balancer to create additional Compute Engine instances when needed.","Create Compute Engine instances for the workers and the master and install
Kubernetes. Rely on Kubernetes to create additional Compute Engine instances
when needed.",,1,Google cloud Certified Professional cloud Architech,5
99,"Your development team has installed a new Linux kernel module on the batch servers in Google
Compute Engine (GCE) virtual machines (VMs) to speed up the nightly batch process. Two days after
the installation, 50% of the batch servers failed the nightly batch run. You want to collect details on the
failure to pass back to the development team. Which three actions should you take? Choose 3
answers","Identify whether a live migration event of the failed server occurred, using in
the activity log.",Use Stackdriver Logging to search for the module log entries,"Use gcloud or Cloud Console to connect to the serial console and observe the
logs.",Read the debug GCE Activity log using the API or Cloud Console.,"Export a debug VM into an image and run the image on a local server where kernel
log messages will be displayed on the native screen.",1&3&6,Google cloud Certified Professional cloud Architech,5
100,"Your company runs several databases on a single MySQL instance. They need to take backups of a
specific database at regular intervals. The backup activity needs to complete as quickly as possible
and cannot be allowed to impact disk performance. How should you configure the storage?","Mount additional persistent disk volumes onto each virtual machine (VM) instance in
a RAID10 array and use LVM to create snapshots to send to Cloud Storage.","Configure a cron job to use the gcloud tool to take regular backups using persistent
disk snapshots.","Mount a Local SSD volume as the backup location. After the backup is
complete, use gsutil to move the backup to Google Cloud Storage.","Use gcsfuse to mount a Google Cloud Storage bucket as a volume directly on the
instance and write backups to the mounted location using mysqldump",,3,Google cloud Certified Professional cloud Architech,5
