Sr.NO,Question,Option 1,Option2,Option3,Option4,Option5,Option 6,Correct OPtion (note:- if Correct option is Option 1 then insert 1),Category Name ,Marks
86,"Your team has decided to host a static web site using the Simple Storage Service. A
bucket has been defined with the domain name, the objects uploaded, and the static web
site hosting enabled for the bucket. But you are still not able to able to access the web
site. Which of the following could be the underlying issue?",You need to enable versioning for the bucket as well,The bucket must have public read access,You need to ensure the storage class is infrequent access,You need to use AWS Managed Keys,,,2,Developer,5
87,"Your team is developing an application which makes use of Docker containers. These
containers will be deployed to the Elastic Container Service. The applications on these
containers need to interact with DynamoDB tables. Which of the following is the most
secure way to ensure the containers can interact with DynamoDB?",Create an IAM Role for the ECS Tasks,Embed the Access Keys in the containers,Embed the Access Keys in the cluster,Use an IAM user’s credentials to spin up the cluster,,,1,Developer,5
88,"Your team is developing a set of Lambda functions. You need to ensure the team uses the
best practices for working with AWS Lambda. What is the advantage of initializing any
external dependencies of your Lambda function code? Choose one of the options given
below.",Ability to decode errors better,Ability to instantiate an object for each invocation,Ability to reuse Execution Context,Ability to call functions faster,,,3,Developer,5
89,"Your company has a SOAP service that receives requests in XML. The service is going to
be placed behind the API gateway service. Which of the following must be done to ensure
that requests made to the API gateway service can be consumed by the SOAP service?",Create a mapping template,Setup a gateway response,Enable support for binary workloads,Setup Private integrations,,,1,Developer,5
90,"Your team is developing a set of Lambda functions. They need to debug the Lambda
functions using the X-Ray service. Which of the following are environment variables which
are used by AWS Lambda to communicate with the X-Ray service? Choose 3 answers
from the options given below",_X_AMZN_TRACE_ID,AWS_XRAY_CONTEXT_MISSING,AWS_XRAY_DAEMON_ADDRESS,AWS_LAMBDA_XRAY,,,"1,2&3",Developer,5
91,"You’re developing an application that will be hosted on an EC2 Instance. This will be part
of an Autoscaling Group. The application needs to get the private IP of the instance so that
it can send it across to a controller-based application. Which of the following can be done
to achieve this?",Query the Instance Meta Data,Query the Instance User Data,Have an Admin get the IP address from the console,Make the application run IFConfig,,,1,Developer,5
92,"Your mobile application includes a photo-sharing service that is expecting tens of
thousands of users at launch. You will leverage Amazon Simple Storage Service (S3) for
storage of the user Images, and you must decide how to authenticate and authorize your
users for access to these images. You also need to manage the storage of these images.
Which two of the following approaches should you use? Choose two answers from the
options below","Create an Amazon S3 bucket per user, and use your application to generate
the S3 URL for the appropriate content.","Use AWS Identity and Access Management (IAM) user accounts as your
application-level user database, and offload the burden of authentication
from your application code","Authenticate your users at the application level, and use AWS Security
Token Service (STS)to grant token-based authorization to S3 objects.","Authenticate your users at the application level, and send an SMS token
message to the user. Create an Amazon S3 bucket with the same name as
the SMS message token, and move the user’s objects to that bucket","Use a key-based naming scheme comprised from the user IDs for all
user objects in a single Amazon S3 bucket.",,3&5,Developer,5
93,"You’ve developed a Lambda function and are now in the process of debugging it. You add
the necessary print statements in the code to assist in the debugging. You go to
Cloudwatch logs , but you see no logs for the lambda function. Which of the following
could be the underlying issue for this?",You’ve not enabled versioning for the Lambda function,"The IAM Role assigned to the Lambda function does not have the
necessary permission to create Logs",There is not enough memory assigned to the function,There is not enough time assigned to the function,,,2,Developer,5
94,"You have an application that is hosted on an EC2 Instance. This application is part of a
custom domain www.demo.com The application has been changed to make calls to the
API gateway. But the browser is not rendering the responses and Javascript errors are
being seen in the developer console. What must be done to ensure that this issue can be
resolved?",Make the application call a Lambda function instead,"There is an issue with the stage defined on the API gateway, hence define
a new stage",Make use of Cognito user pools,Enable CORS for the API gateway,,,4,Developer,5
95,"You have deployed an application on an EC2 Instance. This application makes calls to a
DynamoDB service. There are numerous performance issues present in the application.
You decide to use the XRay service to debug the performance issues. You are not able to
see the trails in the XRay service. Which of the following could be the underlying issue?
Choose 2 answers from the options given below",The X-Ray daemon is not installed on the EC2 Instance,The right AMI is not chosen for the EC2 Instance,"Ensure that the IAM Role attached to the Instance has permission to
upload data ontoX-Ray","Ensure that the IAM Role attached to the Instance has permission to upload
data onto Cloudwatch",,,1&3,Developer,5
96,"Your development team is planning on working with Amazon Step Functions. Which of the
following is a recommended practise when working with activity workers and tasks in Step
Functions? Choose 2 answers from the options given below",Ensure to specify a timeout in state machine definitions,We can use only 1 transition per state,"If you are passing larger payloads between states, consider using the
Simple Storage Service","If you are passing larger payloads between states, consider using EBS
volumes",,,1&3,Developer,5
97,"You are a developer for a company that is planning on using the AWS RDS service. Your
Database administrator spins up a new MySQL RDS Instance in AWS. You now need to
connect to that instance. How can you achieve this? Choose 2 answers from the options
given below.","Use the DescribeDBInstances API and get the endpoint for the
database instance","Use the DescribeDBInstances API and get the IP address for the database
instance",Request the DBA for the endpoint of the instance,Request the DBA for the IP address of the instance,,,1&3,Developer,5
98,"You are developing an application that is going to make use of AWS Cognito. The default
sign-in and sign-up features of the AWS Cognito service will be used. There is a security
requirement to ensure that if the user’s credentials are compromised, then they would
need to use a new password. Which of the following needs to be in place for this? Choose
2 answers from the options given below",Ensure to create a user pool in AWS Cognito,"Ensure to “Block use” for compromised credentials in the Advanced
Security section","Ensure to “Block use” for compromised credentials in the Basic Security
section",Verify sign-in operation on Cognito using Secure Remote Password,,,1&2,Developer,5
99,"You are developing a function that will be hosted in AWS Lambda. The function will be
developed in .Net. There are a number of external libraries that are needed for the code to
run. Which of the following is the best practise when it comes to working with external
dependencies for AWS Lambda?",Make sure that the dependencies are put in the root folder,Selectively only include the libraries that are required,Make sure the libraries are installed in the beginning of the function,Place the entire SDK dependencies in Amazon S3,,,2,Developer,5
100,"A Developer working on an AWS CodeBuild project wants to override a build command as
part of a build run to test a change. The developer has access to run the builds but does
not have access to edit the CodeBuild project
What process should the Developer use to override the build command?","Update the buildspec.yml configuration file that is part of the source code
and run a new build","Update the command in the Build Commands section during the build run
in the AWS console","Run the start build AWS CLI command
with buildspecOverride property set to the new buildspec.yml file.","Update the buildspec property in the StartBuild API to override the build
command during build run",,,3,Developer,5
