Sr no,Question,Option1,Option2,Option3,Option4,Option5,Option6,Correct OPtion (note:- if Correct option is Option 1 then insert 1),Category Name,Marks
89,"You work for your company as an AWS administrator. You’ve setup a Classic Load balancer and EC2
Instances for an application. You have setup HTTPS listeners with the default security policies. Your
Security department has mentioned that the security policy defined for the load balancer does not
meet the regulations defined for the policy. What changes would you make to be in line with the
requirements of the IT security department.",Create a new SSL and associate it with the underlying EC2 Instances,Create a new SSL and associate it with the underlying Classic Load balancer,Create a custom security policy and associate it with the EC2 Instance,Create a custom security policy and associate it with the Classic Load Balancer,,,4, AWS certified Advance Networking  speclity,5
90,"When creating an AWS workspace , which of the following is required for the creation of the
workspace.",A VPC with a private and public subnet,A User directory,A NAT instance on the customer side,An AWS Direct Connect connection,,,2, AWS certified Advance Networking  speclity,5
91,"Your company currently hosts an application that consists of a NGINX web server that is hosted
behind a load balancer. You need to ensure that you restrict access to certain locations for the content
hosted on the Web server. How can you accomplish this?"," Use the NGINX logs to get the web server variable and then use the IP address to
restrict content via Cloudfront geo-restrictions.",Use the ELB logs to create a blacklist for restrictions,"Use the IP addresses in the X-Forwarded-For HTTP header and then restrict
content via Cloudfront geo-restrictions.",Use the ELB itself to restrict content via geo-restrictions.,,,3, AWS certified Advance Networking  speclity,5
92,"Your planning on setting up a VPC with Subnets. The EC2 Instances hosted in the VPC needs to get
the time from a custom NTP server. How can you accomplish this?",Create a DHCP Options set and provide the NTP server name,Define a resource record in Route 53 and provide the NTP server name,Assign the NTP server in the Subnet configuration,"Use an Application Load Balancer and then provide the NTP server as part of the
ALB configuration",,,1, AWS certified Advance Networking  speclity,5
93,"You have a set of Instances in your VPC that communicate over the IPv6 protocol. You need to ensure
that traffic can flow from the Instances to the Internet but not vice versa. How ca you achieve this.",Change the Internet gateway to only allow outbound traffic for IPv6,Change the Internet gateway to only allow outbound traffic for IPv6,Change the NACL’s to not allow Inbound Traffic on the Instances,Use an Egress only Internet gateway,,,4, AWS certified Advance Networking  speclity,5
94,"You’re planning on creating a VPN connection to 2 VPC’s in AWS. You are going to be using the same
customer gateway in both cases. These VPC’s have overlapping CIDR blocks. What can be done to
ensure the routing is done right on the customer side",Use static routes on the customer side,Configure AS_PATH for each of the routes,Use VRF technology for routing,Use BFD technology for routing,,,3, AWS certified Advance Networking  speclity,5
95,"You have a set of EC2 Instances that are deployed in a VPC. An application is hosted on these
instances. There are some issues which keep on recurring in the application and you plan to inspect
the packets being sent from the application to trace the error. How can you achieve this?",Use VPC Flow logs,Use an IDS,Use Cloudtrail,Use Cloudwatch Logs,,,2, AWS certified Advance Networking  speclity,5
96,"You’ve setup VPC Flow logs for your EC2 Instance ENI in a subnet. You can see the below REJECT
record in the VPC Flow logs. What does this indicate.
2 123456789911 eni-abc123de 172.31.9.69 172.31.9.12 49761 3389 6 20 4249 1418530010 1418530070
REJECT OK",A request was made on port 80 to the Instance,Someone was trying to log into the Instance via SSH,Someone was trying to log into the Instance via RDP,A request was made on port 443 to the Instance,,,3, AWS certified Advance Networking  speclity,5
97,"Your company currently has VPC’s located in us-west and us-east. The company has an AWS Direct
Connect connection in the US East region. They want to have the ability to extend the connection to
us-west. They also need to minimize time and effort to have this in place. How can this be achieved?",Create another AWS Direct Connect connection in us-west,Make use of the Direct Connect gateway,Create a private VIF using the current connection,Make use of an IPSec VPN,,,2, AWS certified Advance Networking  speclity,5
98,"You have a requirement of providing remote access to clients from their mobile devices and tablets.
This is to access a service from inside a VPC. Which of the following would be part of the design?",A custom VPN server hosted on an EC2 Instance,An AWS Managed VPN,An AWS Managed Direct Connect connection,An AWS Managed Direct Connect gateway,,,1, AWS certified Advance Networking  speclity,5
99,"Your company is using a hosted virtual interface from its parent AWS Account. You need to mention to
IT management on what charges your company will acquire. Which of the following would you
mention?",The port hour charges,The data transfer in,The data transfer out via the interface,The amount of hours used by the interface,,,3, AWS certified Advance Networking  speclity,5
100,"You’ve configured a classic load balancer with EC2 Instances behind them. You are going to the DNS
name for the load balancer , but you are not getting the response from the underlying instances.
Which of the following are checks you should carry out? Choose 2 answers from the options given
below",Ensure the load balancer is created in the public subnet,Ensure the load balancer is created in the private subnet,"Ensure the Security group for the load balancer accepts traffic on port 80
from10.0.0.0/16","Ensure the Security group for the load balancer accepts traffic on port 80
from0.0.0.0/0",,,1&4, AWS certified Advance Networking  speclity,5
